City_locality,iso3,country,super_region,super_region_name,pm25,sat_2014
NEUBRANDENBURG,DEU,Germany,1,HighIncome,14,15.770001411438
NEUENBURG,DEU,Germany,1,HighIncome,13,17.807502746582
NEUGLOBSOW,DEU,Germany,1,HighIncome,10,15.7380056381226
NEUHAUSEN,DEU,Germany,1,HighIncome,10,18.1880016326904
NEURUPPIN,DEU,Germany,1,HighIncome,12,16.1714992523193
NEUSTADT,DEU,Germany,1,HighIncome,11,17.8844985961914
NEUSTADT A.D.DONAU,DEU,Germany,1,HighIncome,13,19.6135005950928
NEUVES-MAISONS,FRA,France,1,HighIncome,16,16.2150020599365
NEUWIED,DEU,Germany,1,HighIncome,14,16.343994140625
NEVERS,FRA,France,1,HighIncome,8,12.7874984741211
NEVSEHIR,TUR,Turkey,2,N-Afr/MidEast,33,20
"New Castle, IN",USA,United States of America,1,HighIncome,10,9.98850059509277
"New Haven-Milford, CT",USA,United States of America,1,HighIncome,8.5,8.13324975967407
"New Orleans-Metairie-Kenner, LA",USA,United States of America,1,HighIncome,8,7.27725100517273
New Taipei,CHN,China,6,SE-Asia/E-Asia/Oceania,22.2727272727273,15.5166835784912
"New York-Northern New Jersey-Long Island, NY-NJ-PA",USA,United States of America,1,HighIncome,8.88888888888889,9.16997241973877
Newcastle,AUS,Australia,1,HighIncome,8.25113248433333,2.7086656888326
NEWCASTLE UPON TYNE,GBR,United Kingdom,1,HighIncome,10,7.90900230407715
NEWMARKET,CAN,Canada,1,HighIncome,7,7.35200023651123
NEWPORT,GBR,United Kingdom,1,HighIncome,13,9.92799949645996
Ngaruawahia,NZL,New Zealand,1,HighIncome,6,2.49850010871887
NICE,FRA,France,1,HighIncome,13.5,12.4865012168884
NICOSIA,CYP,Cyprus,1,HighIncome,19.5,22.5459976196289
NIDZICA,POL,Poland,4,E-Eur/C-Eur/C-Asia,20,21.7165012359619
NIEDERZIER,DEU,Germany,1,HighIncome,17,15.5539970397949
NIEPOLOMICE,POL,Poland,4,E-Eur/C-Eur/C-Asia,36,21.6820011138916
NIGDE,TUR,Turkey,2,N-Afr/MidEast,49,21.1464996337891
Niigata city,JPN,Japan,1,HighIncome,13,13.8394989967346
NIJMEGEN,NLD,Netherlands,1,HighIncome,14.5,16.4594955444336
Nik_ic,MNE,Montenegro,4,E-Eur/C-Eur/C-Asia,23,15.9369945526123
"Niles-Benton Harbor, MI",USA,United States of America,1,HighIncome,9,9.13950157165527
NIMES,FRA,France,1,HighIncome,15.5,11.039999961853
Ningbo,CHN,China,6,SE-Asia/E-Asia/Oceania,45.125,54.6625657081604
NIORT,FRA,France,1,HighIncome,10.5,11.6719942092896
Nir Galim,ISR,Israel,1,HighIncome,19,35.0355072021484
Nir Israel,ISR,Israel,1,HighIncome,20,34.4765014648438
NIS,SRB,Serbia,4,E-Eur/C-Eur/C-Asia,19,21.2609939575195
NISKO,POL,Poland,4,E-Eur/C-Eur/C-Asia,26,20.7204971313477
NITRA,SVK,Slovakia,4,E-Eur/C-Eur/C-Asia,18,21.1809978485107
Nnewi,NGA,Nigeria,7,Sub-Saharan Afr,24,51.2724990844727
NOEUX-LES-MINES,FRA,France,1,HighIncome,10.5,15.9494972229004
"Nogales, AZ",USA,United States of America,1,HighIncome,10,3.76900053024292
NOGENT-SUR-MARNE,FRA,France,1,HighIncome,13,16.3179950714111
NOGENT-SUR-OISE,FRA,France,1,HighIncome,15,15.5975027084351
NOIA,ESP,Spain,1,HighIncome,4,8.38649940490723
Noida,IND,India,3,S-Asia,72.5,86.2620010375977
Nonthaburi,THA,Thailand,6,SE-Asia/E-Asia/Oceania,25.5,39.4627571105957
NORDHAUSEN,DEU,Germany,1,HighIncome,13,17.8440017700195
NORMAN WELLS,CAN,Canada,1,HighIncome,3,5.92250108718872
Norrk_ping,SWE,Sweden,1,HighIncome,6,12.2424983978271
NORTH BAY,CAN,Canada,1,HighIncome,5,4.66599988937378
NORTH VANCOUVER,CAN,Canada,1,HighIncome,5.5,3.90650033950806
Northern St. Catherine,JAM,Jamaica,5,LatAm/Carib,13,6.67083326975505
NORWICH,GBR,United Kingdom,1,HighIncome,13,14.0784997940063
"Norwich-New London, CT",USA,United States of America,1,HighIncome,8,7.82849979400635
"Not in a City,Burke,ND",USA,United States of America,1,HighIncome,4,4.42000007629395
"Not in a City,Carter,KY",USA,United States of America,1,HighIncome,8,7.04900074005127
"Not in a City,Caswell,NC",USA,United States of America,1,HighIncome,10,6.9150013923645
"Not in a City,Cedar,MO",USA,United States of America,1,HighIncome,8,7.08000135421753
"Not in a City,Chesterfield,SC",USA,United States of America,1,HighIncome,9,7.7189998626709
"Not in a City,Converse,WY",USA,United States of America,1,HighIncome,2,4.14450025558472
"Not in a City,Custer,SD",USA,United States of America,1,HighIncome,2,4.13200092315674
"Not in a City,Delaware,IA",USA,United States of America,1,HighIncome,9,8.50650024414062
"Not in a City,Dunn,ND",USA,United States of America,1,HighIncome,4,4.11949920654297
"Not in a City,Essex,NY",USA,United States of America,1,HighIncome,4,5.58899974822998
"Not in a City,Fergus,MT",USA,United States of America,1,HighIncome,4,3.47149991989136
"Not in a City,Hancock,ME",USA,United States of America,1,HighIncome,4,5.60099840164185
"Not in a City,Jackson,NC",USA,United States of America,1,HighIncome,7,6.27450132369995
"Not in a City,Jackson,SD",USA,United States of America,1,HighIncome,4,4.88300037384033
"Not in a City,Kent,MD",USA,United States of America,1,HighIncome,8,9.48050022125244
"Not in a City,Lake,MN",USA,United States of America,1,HighIncome,4,4.43849992752075
"Not in a City,Lemhi,ID",USA,United States of America,1,HighIncome,13,2.81199932098389
"Not in a City,McKenzie,ND",USA,United States of America,1,HighIncome,3,4.09299945831299
"Not in a City,Mercer,ND",USA,United States of America,1,HighIncome,5,4.30349969863892
"Not in a City,Montgomery,IA",USA,United States of America,1,HighIncome,8,7.2080020904541
"Not in a City,Neosho,KS",USA,United States of America,1,HighIncome,10,7.5984992980957
"Not in a City,Oliver,ND",USA,United States of America,1,HighIncome,5,4.28900003433228
"Not in a City,Page,VA",USA,United States of America,1,HighIncome,8,6.82799911499023
"Not in a City,Phillips,MT",USA,United States of America,1,HighIncome,4,3.65050053596497
"Not in a City,Powder River,MT",USA,United States of America,1,HighIncome,6,3.88550090789795
"Not in a City,Richland,MT",USA,United States of America,1,HighIncome,7,3.8175003528595
"Not in a City,Rosebud,MT",USA,United States of America,1,HighIncome,6,3.82350039482117
"Not in a City,Sublette,WY",USA,United States of America,1,HighIncome,5,3.8585000038147
"Not in a City,Van Buren,IA",USA,United States of America,1,HighIncome,9,7.47799730300903
NOTRE-DAME-DE-BLIQUETUIT,FRA,France,1,HighIncome,10,13.1840019226074
NOTRE-DAME-DU-ROSAIRE,CAN,Canada,1,HighIncome,5,3.91899847984314
